ID;Sigla;Comuna;Votacion
15;PH;BUIN;411
15;PL;BUIN;0
15;PODER;BUIN;0
15;PPD;BUIN;4572
15;PRI;BUIN;2625
15;PRO;BUIN;241
15;PRSD;BUIN;2589
15;PS;BUIN;1345
15;RD;BUIN;0
15;RN;BUIN;2242
15;UDI;BUIN;4064
15;UP;BUIN;0
16;AMP;BULNES;0
16;DC;BULNES;717
16;DEMOREGIONAL;BULNES;0
16;ECO;BULNES;1261
16;EVO;BULNES;484
16;FRNV;BULNES;0
16;FRVS;BULNES;0
16;IC;BULNES;621
16;IGUALDAD;BULNES;0
16;INDEP;BULNES;0
16;MAS;BULNES;0
16;PC;BULNES;1005
16;PH;BULNES;0
16;PL;BULNES;0
16;PODER;BULNES;0
16;PPD;BULNES;393
16;PRI;BULNES;0
16;PRO;BULNES;0
16;PRSD;BULNES;504
16;PS;BULNES;1210
16;RD;BULNES;0
16;RN;BULNES;1614
16;UDI;BULNES;1653
16;UP;BULNES;0
17;AMP;CABILDO;602
17;DC;CABILDO;1505
17;DEMOREGIONAL;CABILDO;0
17;ECO;CABILDO;0
17;EVO;CABILDO;602
17;FRNV;CABILDO;0
17;FRVS;CABILDO;0
17;IC;CABILDO;0
17;IGUALDAD;CABILDO;26
17;INDEP;CABILDO;140
17;MAS;CABILDO;0
17;PC;CABILDO;566
17;PH;CABILDO;692
17;PL;CABILDO;0
17;PODER;CABILDO;0
17;PPD;CABILDO;1099
17;PRI;CABILDO;570
17;PRO;CABILDO;678
17;PRSD;CABILDO;315
17;PS;CABILDO;915
17;RD;CABILDO;0
17;RN;CABILDO;316
17;UDI;CABILDO;85
17;UP;CABILDO;0
18;AMP;CABO DE HORNOS;0
18;DC;CABO DE HORNOS;137
18;DEMOREGIONAL;CABO DE HORNOS;0
18;ECO;CABO DE HORNOS;0
18;EVO;CABO DE HORNOS;0
18;FRNV;CABO DE HORNOS;0
18;FRVS;CABO DE HORNOS;0
18;IC;CABO DE HORNOS;0
18;IGUALDAD;CABO DE HORNOS;0
18;INDEP;CABO DE HORNOS;0
18;MAS;CABO DE HORNOS;0
18;PC;CABO DE HORNOS;0
18;PH;CABO DE HORNOS;0
18;PL;CABO DE HORNOS;0
18;PODER;CABO DE HORNOS;0
18;PPD;CABO DE HORNOS;89
18;PRI;CABO DE HORNOS;0
18;PRO;CABO DE HORNOS;0
18;PRSD;CABO DE HORNOS;96
18;PS;CABO DE HORNOS;260
18;RD;CABO DE HORNOS;0
18;RN;CABO DE HORNOS;202
18;UDI;CABO DE HORNOS;50
18;UP;CABO DE HORNOS;0
19;AMP;CABRERO;0
19;DC;CABRERO;1355
