"ID","Sigla","Comuna","Votacion"
22,"RD","CALDERA",0
22,"RN","CALDERA",1401
22,"UDI","CALDERA",305
22,"UP","CALDERA",0
23,"AMP","CALERA DE TANGO",0
23,"DC","CALERA DE TANGO",819
23,"DEMOREGIONAL","CALERA DE TANGO",0
23,"ECO","CALERA DE TANGO",0
23,"EVO","CALERA DE TANGO",448
23,"FRNV","CALERA DE TANGO",0
23,"FRVS","CALERA DE TANGO",0
23,"IC","CALERA DE TANGO",0
23,"IGUALDAD","CALERA DE TANGO",0
23,"INDEP","CALERA DE TANGO",0
23,"MAS","CALERA DE TANGO",0
23,"PC","CALERA DE TANGO",294
23,"PH","CALERA DE TANGO",0
23,"PL","CALERA DE TANGO",0
23,"PODER","CALERA DE TANGO",0
23,"PPD","CALERA DE TANGO",129
23,"PRI","CALERA DE TANGO",370
23,"PRO","CALERA DE TANGO",634
23,"PRSD","CALERA DE TANGO",508
23,"PS","CALERA DE TANGO",1651
23,"RD","CALERA DE TANGO",0
23,"RN","CALERA DE TANGO",2241
23,"UDI","CALERA DE TANGO",2255
23,"UP","CALERA DE TANGO",0
24,"AMP","CALLE LARGA",79
24,"DC","CALLE LARGA",777
24,"DEMOREGIONAL","CALLE LARGA",0
24,"ECO","CALLE LARGA",0
24,"EVO","CALLE LARGA",5
24,"FRNV","CALLE LARGA",0
24,"FRVS","CALLE LARGA",0
24,"IC","CALLE LARGA",0
24,"IGUALDAD","CALLE LARGA",0
24,"INDEP","CALLE LARGA",0
24,"MAS","CALLE LARGA",0
24,"PC","CALLE LARGA",192
24,"PH","CALLE LARGA",514
24,"PL","CALLE LARGA",0
24,"PODER","CALLE LARGA",0
24,"PPD","CALLE LARGA",339
24,"PRI","CALLE LARGA",22
24,"PRO","CALLE LARGA",77
24,"PRSD","CALLE LARGA",430
24,"PS","CALLE LARGA",951
24,"RD","CALLE LARGA",0
24,"RN","CALLE LARGA",625
24,"UDI","CALLE LARGA",831
24,"UP","CALLE LARGA",0
25,"AMP","CAMARONES",0
25,"DC","CAMARONES",422
25,"DEMOREGIONAL","CAMARONES",0
25,"ECO","CAMARONES",38
25,"EVO","CAMARONES",0
25,"FRNV","CAMARONES",0
25,"FRVS","CAMARONES",0
25,"IC","CAMARONES",0
25,"IGUALDAD","CAMARONES",0
25,"INDEP","CAMARONES",0
25,"MAS","CAMARONES",0
25,"PC","CAMARONES",61
25,"PH","CAMARONES",0
25,"PL","CAMARONES",0
25,"PODER","CAMARONES",35
25,"PPD","CAMARONES",306
25,"PRI","CAMARONES",22
25,"PRO","CAMARONES",371
25,"PRSD","CAMARONES",319
25,"PS","CAMARONES",245
25,"RD","CAMARONES",0
25,"RN","CAMARONES",242
25,"UDI","CAMARONES",345
25,"UP","CAMARONES",0
26,"AMP","CAMIÑA",173
26,"DC","CAMIÑA",155
26,"DEMOREGIONAL","CAMIÑA",0
26,"ECO","CAMIÑA",465
26,"EVO","CAMIÑA",0
26,"FRNV","CAMIÑA",0
26,"FRVS","CAMIÑA",0
26,"IC","CAMIÑA",0
26,"IGUALDAD","CAMIÑA",0
26,"INDEP","CAMIÑA",0
26,"MAS","CAMIÑA",0
26,"PC","CAMIÑA",1
26,"PH","CAMIÑA",6
26,"PL","CAMIÑA",0
26,"PODER","CAMIÑA",0
26,"PPD","CAMIÑA",14
26,"PRI","CAMIÑA",0
26,"PRO","CAMIÑA",0
